Brisbane,Lions,St Kilda,Saints,W3,0.0.0,0.0.0, Full Time
Mar 6,2016,4.40,Mackay,Foxtel,,10450118,,0,,,,
#####

291773,Jack,Newnes,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,494800,,489600,,Back ,16,0,0,0,0.00,0.00,0.00,472000,,,0,0,0,0,0
293846,Seb,Ross,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,410400,,365900,,Midfielder ,6,0,0,0,0.00,0.00,0.00,394000,,,0,0,0,0,0
294266,Tom,Hickey,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,323600,,375300,,Ruck ,1,0,0,0,0.00,0.00,0.00,309000,,,0,0,0,0,0
294317,Nathan,Wright,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,278200,,243900,,Back ,34,0,0,0,0.00,0.00,0.00,226000,,,0,0,0,0,0
294429,Luke,Dunstan,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,407300,,378000,,Midfielder ,7,0,0,0,0.00,0.00,0.00,389000,,,0,0,0,0,0
294596,Tim,Membrey,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,301900,,304900,,Forward ,28,0,0,0,0.00,0.00,0.00,288000,,,0,0,0,0,0
295477,Josh,Saunders,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,128200,,159500,,Midfielder ,35,0,0,0,0.00,0.00,0.00,125000,,,0,0,0,0,0
296208,Eli,Templeton,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,250200,,196100,,Forward ,4,0,0,0,0.00,0.00,0.00,210000,,,0,0,0,0,0
296294,Blake,Acres,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,274100,,256700,,Midfielder ,8,0,0,0,0.00,0.00,0.00,238000,,,0,0,0,0,0
296351,Jack,Billings,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,487600,,455100,,Forward ,15,0,0,0,0.00,0.00,0.00,452000,,,0,0,0,0,0
992000,Jack,Lonie,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,317500,,301900,,Forward ,13,0,0,0,0.00,0.00,0.00,303000,,,0,0,0,0,0
994460,Jason,Holmes,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,255100,,242800,,Ruck ,45,0,0,0,0.00,0.00,0.00,192000,,,0,0,0,0,0
